Customers with highest no. of transactions,,,,Customers bringing maximum revenue,,,,Part numbers with maximum revenue,,,,Part numbers with maximum margin,,
Row Labels,Count of custname,,,Row Labels,Sum of revenue,,,Row Labels,Sum of revenue,,,Row Labels,Sum of margin,
VISUAL COMMUNICATION,1,,,CUSTOM MACHINE & DESIGN,2504.32,,,779980245,26094.78,,,777699062,13127.97,
SOUTHWEST RESEARCH INST.,1,,,HUGHES ASSOCIATES INC.,2496.8,,,780210000,26019.24,,,764828710,13107.76,
VITRO VIDRIO Y CRISTAL,1,,,NTK AVIATION AMERICA INC.,2485.6,,,739450000,25732.52,,,754327000,13086.03,
TRIDENT FLUID POWER,1,,,RTI FABRICATION,2478.2,,,792735000,25609.51,,,793060330,13080.94,
VSP TECHNOLOGIES,1,,,ALPHABET ENERGY INC,2475.92,,,768111220,25596,,,733572600,12999.15,
SCHOTT FORMA VITRUM DE,1,,,ADVANCED TECH SERVICES,2470.78,,,770520000,25583.55,,,768217320,12886.65,
STEEL CASE INC.,1,,,THERMOMETRICS CORPORATION,2467.6,,,793060330,25488,,,777691562,12793.23,
"SPACE EXPLORATION TECH,",1,,,BHC INTEGRATED SUPPORT,2465,,,779959408,25433.1,,,768250221,12786.94,
WALL COLMONOY CORP,1,,,EAGLE PICHER TECHNOLOGIES,2451.9,,,734961000,25332,,,768111220,12778.95,
S W ANDERSON,1,,,ALCHEMY SOUTH,2444.7,,,770850000,25122.3,,,764824002,12775.44,
WARDELL  PUBLICATIONS INC,1,,,CLAUDIUS PETERS,2434,,,737550600,24996.4,,,777991000,12660.14,
SCHULZ XTRUTED PRODUCTS,1,,,NEWTEX INDUSTRIES INC.,2430,,,779988955,24850,,,793000410,12656.03,
WASHINGTON UNIVERISTY IN,1,,,THE BERND GROUP INC.,2422,,,779957280,24506.88,,,768242900,12628.01,
TROXLER ELECTRONIC,1,,,HEAVY EQUIPMENT MACHINERY,2416,,,764865100,24444,,,733566100,12591.74,
SELTEK INT'L INC,1,,,AMPCO METAL,2404.5,,,770530000,24347.5,,,779988831,12524.21,
S.C. DEPT OF AGRICULTURE,1,,,ICO RALLY,2404,,,739821010,24320.32,,,770300000,12510.66,
WEATHERFORD LABS,1,,,AGROTEK SERVICES INC.,2400,,,779951186,24298.56,,,754107000,12470.86,
TTM TECHNOLOGIES INC.,1,,,AECOM,2396.5,,,727032005,24097.5,,,792683000,12452.45,
WELSH RESTAURANT EQUIP.,1,,,A O SMITH,2368.4,,,754887000,24086.64,,,764785122,12398.76,
TURPEN & ASSOCIATES,1,,,LEWIS-GOETZ & CO.,2366.75,,,754754020,24024,,,780210000,12390.88,
WESCO DISTRIBUTION INC,1,,,R T P  COMPANY,2353.5,,,764261120,23870,,,733423800,12311.38,
TWIN CC SUPPLY,1,,,THERMO FISHER ENVIR.,2346,,,737651000,23858.01,,,779957936,12295.55,
STUDIO BEL VETRO,1,,,DEPT. OF THE NAVY,2346,,,779988972,23782.5,,,779957280,12281.86,
TWIN COMMANDER AIRCRAFT,1,,,ECR INTERNATIONAL INC.,2334.64,,,770218000,23760,,,733202009,12221.27,
STULLER SETTINGS INC.,1,,,"DAVIS-STANDARD, LLC",2324,,,764528100,23616,,,779980910,12155.9,
U S ARTIST SERVICE,1,,,UNITED SEAL & RUBBER CO,2323.2,,,753965000,23602.83,,,764823500,12071.43,
"WHETSTONE TECHNOLOGY, LLC",1,,,STATE OF DELAWARE,2295.5,,,766125500,23587.2,,,742461000,12054.97,
U S DEPARTMENT OF ENERGY,1,,,AEROJET,2250.6,,,754924013,23424,,,764523200,12011.34,
SUMMIT CONTROLS INC.,1,,,ATLAS METALIZING,2239.08,,,742461100,23394,,,770550000,11935.75,
U S MARINE CORPS.,1,,,IN VITRO,2235.2,,,754727000,23338.8,,,793260074,11908.43,
WICKS AIRCRAFT SUPPLY,1,,,NUCOR STEEL BIRMINGHAM,2226,,,754327000,23319.57,,,740402301,11857.42,
"UNICAL AVIATION, INC.",1,,,ATD ENGINEERING MACHINE,2218.24,,,792624000,23296,,,779951110,11790.08,
SUNCOAST CHEMICALS,1,,,PROCOR LTD,2197.44,,,754095000,23233.92,,,737550600,11751.62,
SCOT FORGE CO,1,,,NIPRO GLASS AMERICAS CORP,2188.5,,,779956843,23188.92,,,766121007,11747.29,
SERVI-SEL INC.,1,,,FLAME CONTROL COATINGS,2127.6,,,770570000,23150.95,,,754754020,11692.95,
SPECIALTY GASKETS INC,1,,,HOMANS-CORPORATE OFFICE,2125.2,,,779980925,23097.6,,,739450000,11692.07,
SUPER CONDUCTOR MTLS.,1,,,MICROWAVE RESEARCH &,2116.86,,,779980285,22988.7,,,733832000,11653.61,
S.P.KINNEY ENGINEERING,1,,,EDEN PARK ILLUMINATION,2103.36,,,777691262,22967.01,,,768111000,11636.04,
XPEDX,1,,,SPECIALTY OPTICAL SYSTEMS,2097.5,,,779958687,22875.84,,,768221110,11607.67,
SPECIALTY OPTICAL SYSTEMS,1,,,JEANNETTE SPECIALTY GLASS,2097.5,,,764864005,22736,,,777690362,11604.54,
SURFACE IGNITER LLC,1,,,INEX CORPORATION,2091.7,,,779957812,22621.84,,,777691162,11468.85,
SCREW CONVEYOR CORP,1,,,BALLARD MATERIAL PRODUCTS,2090,,,764824002,22558.4,,,768080000,11447.89,
ROGERS CORP,1,,,"K&L REFRACTORIES, INC.",2070,,,779571000,22545.15,,,764829200,11427.6,
UNIFRAX GMBH,1,,,OECO MILWAUKIE,2046,,,777780074,22537.54,,,793540000,11426.98,
SCREW CONVEYOR CORP.,1,,,ESSEX GROUP,2044.96,,,754065000,22484.04,,,779957812,11393.74,
PRIME RESINS,1,,,AMERICAN POWER SERVICE,2043,,,733152500,22460,,,766041100,11383.07,
PICA MFG. SOLUTIONS,1,,,KENNAMETAL INC,2042,,,768241600,22410,,,751348000,11380.41,
RCG OF NORTH CAROLINA LLC,1,,,PILKINGTON N. A. INC.,2041.48,,,764706110,22374.24,,,761073000,11369.27,
MYLAN TECHNOLOGIES INC.,1,,,MORAC MEXICO S.A. de C.V.,2039.4,,,754467000,22367.8,,,768111200,11343.32,
MAGIKIST LTD.,1,,,HANES SUPPLY,2025,,,764765000,22332,,,784260000,11330.01,
N2 AERO,1,,,MCJUNKIN RED MAN CORP.,2020,,,779980780,22331.3,,,792730000,11319.22,
METALCRAFT TECHNOLOGIES,1,,,SEMICONDUCTOR PACKAGING,2007.5,,,768241102,22242.75,,,792702000,11304.05,
NASA - MARSHALL SPACE,1,,,RECON,1982.2,,,779951021,22165.9,,,779980240,11282.07,
RENO REFRACTORIES INC.,1,,,VA MEDICAL CENTER,1980.75,,,764822024,22150,,,742431000,11268.02,
LONGHORN GASKET & SUPPLY,1,,,WISCONSIN ALUMINUM,1980.2,,,739661100,22132.52,,,764264056,11236.01,
"MIURA CANADA CO., LTD.",1,,,THERMTREND INC.,1978,,,779959837,22032.5,,,742471100,11217.93,
NASA MSFC,1,,,AMERITHERM INC.,1976,,,777142000,21989.4,,,779988964,11169.78,
PRECISION ELECTRO MINERAL,1,,,JACKSONVILLE ELECTRIC .,1975,,,777905410,21907.78,,,764829220,11104.71,
NATHAN DEKKENGA,1,,,HARROP INDUSTRIES INC,1956.5,,,739541020,21907.2,,,784360000,11073.78,
PUGET SOUND NAVAL,1,,,PRAIRIE STAINED GLASS,1955.24,,,764829220,21888,,,779957196,10989.22,
NATIONAL ELECTRIC,1,,,HI-TECH ENTERPRISES,1953,,,770440000,21852.2,,,733423600,10951.71,
RAMPART SUPPLY,1,,,HARVEST PRODUCTS,1950.4,,,784360000,21715.6,,,779958687,10950.87,
NATIONAL GYPSUM CO,1,,,BRYAN TOOL & MACHINE,1945.92,,,779956873,21656.96,,,789360000,10949.7,
MURPHY COMPANY,1,,,DECATUR RUBBER & GASKET,1938,,,726020037,21610.4,,,779959837,10912.47,
NATIONAL MACHINE COMPANY,1,,,SAINT GOBAIN,1933.6,,,754107000,21563.76,,,751258000,10853.8,
PHELPS INDUSTRIAL PRODUCT,1,,,PENNINGTON FURNACE SUPPLY,1932,,,745121000,21536.8,,,733870000,10812.5,
NATIONAL PAPER CONVERTING,1,,,BORBET ALABAMA INC.,1928.64,,,742451000,21491.25,,,781970000,10787.49,
"MESTEK, FORREST CITY",1,,,U S DEPARTMENT OF ENERGY,1923,,,793000410,21465,,,771002000,10785.13,
NAVAL RESEARCH LABORATORY,1,,,MALYN INDUSTRIAL CERAMICS,1921.92,,,766005000,21458,,,764526010,10759.68,
"MESTEK, INC.",1,,,HUNTSVILLE RUBBER & GASKE,1917.5,,,792702000,21422.5,,,771120000,10733.68,
LORD CORP,1,,,GMS SHEETMETAL DIVISON,1899,,,733464510,21410,,,793160000,10721.42,
MAGNESITA REFRACTORIES,1,,,BUFFALO DENTAL,1898.4,,,793260074,21262.25,,,766212000,10695.81,
NAVY TECHNOLOGY CCENTER,1,,,ARCHIE BRAY FOUNDATION,1890.75,,,779980910,21250,,,733444220,10666.79,
PRESCOTECH INC,1,,,ATLANTIC CASTING,1890.75,,,764828710,21196.8,,,764761010,10625.13,
NAWC-WD/475500D,1,,,AUBURN MANUFACTURING CO.,1887,,,770212000,21191.3,,,734000008,10583.36,
PROLIFT INDUS EQUIP,1,,,SUPERIOR SEALS & SERVICES,1882.5,,,739951050,21144,,,764302500,10576.17,
METALOR ELECTROTECHNICS,1,,,FMS LOGISTICS MANAGEMENT,1880,,,793408000,21003.18,,,779957815,10564.52,
LACO SALES INC,1,,,ATLANTIC COAST FIRE EQ.,1880,,,764526513,20993.6,,,770460000,10557.27,
NEWTEX INDUSTRIES INC.,1,,,SUZUKI GARPHYTTAN WIRE,1878.48,,,735890000,20987.5,,,779957221,10501.99,
"R.L. WILLIAMS & CO., INC.",1,,,NATIONAL MACHINE COMPANY,1866,,,779957815,20976.24,,,779980780,10480.12,
NIAGARA CERAMICS CORP.,1,,,FAIRMONT SUPPLY,1863.6,,,781970000,20944.44,,,784140000,10418.84,
MATRIX SOLUTIONS,1,,,RED-RAY MFG,1851.48,,,764521320,20935,,,771102000,10361.89,
"LOTUS ENGINEERING, INC.",1,,,SAINT-GOBAIN AMERICA SA,1842.74,,,779957221,20929.92,,,764264052,10344.42,
RED-RAY MFG,1,,,REFRACTORY ANCHORS INC,1836,,,779952105,20785.05,,,764521320,10336.2,
LOW COUNTRY INSULATION,1,,,WEST METAL WORKS,1822,,,724413000,20766,,,733423710,10324.89,
REINHOLD INDUSTRIES INC.,1,,,POTTER INDUSTRIES INC.,1820,,,770280000,20722.64,,,764865100,10279.18,
NOELLE INDUSTRIES,1,,,OWENS CORNING,1808,,,754906000,20554.56,,,791107400,10215.53,
MILAMAR COATING,1,,,UNITED MECHANICAL & METAL,1801,,,768222112,20467,,,727063008,10183.18,
NORAM ENGINEERING,1,,,ELECTRO CHEMICAL ENGR MFG,1800,,,784260000,20321.4,,,792622000,10164.47,
PHYTOTECHNOLOGY LABORATOR,1,,,"EB AIRFOILS, LLC",1785.64,,,764348000,20269.2,,,764349000,10125.39,
NORANDAL,1,,,LT ENGINEERING INC.,1777.5,,,795551000,20240,,,779952189,10121.36,
MILWAUKEE INSULATION,1,,,"WHETSTONE TECHNOLOGY, LLC",1768,,,770565000,20161,,,768241500,10090.35,
NORFOLK NAVAL SHIPYARD,1,,,ARMENA REFINING USA,1758,,,779956844,20090.4,,,764261120,10063.38,
PLASTICOMP,1,,,HIMED,1750,,,751258000,20000,,,777698063,10031.94,
NORTH AMERICAN HOGANAS,1,,,S M ENGINEERING,1742.4,,,764829200,19960,,,788260020,10012.98,
POOLESVILLE LAWN EQUIP.,1,,,SANDY VALLEY FASTENERS,1740,,,768142074,19935.5,,,779988973,10004,
LPI TECHNICAL SERVICE,1,,,OHMITE MFG,1739.68,,,762116000,19815.38,,,777691262,9982.08,
MACHINE TOOL,1,,,DFAS COLUMBUS CENTER,1720,,,795900120,19720.8,,,777690862,9958.12,
LSI ADL TECHNOLOGY INC.,1,,,MURPHY COMPANY,1713.92,,,779989966,19680,,,768241030,9939.98,
MONTAGUE STUDIOS,1,,,MAGNESITA REFRACTORIES,1713.6,,,737550200,19678.4,,,777903800,9876.71,
KIEWIT POWER CONSTRUCTORS,1,,,PERFORMANCE CONTRACTNG-KY,1710,,,766689000,19660,,,768133000,9858.83,
PRC-DESOTO INTERNATIONAL,1,,,SELTEK INT'L INC,1707,,,779959403,19640,,,768231012,9852.05,
LT ENGINEERING INC.,1,,,SUNSHINE GLASS WORKS,1699.48,,,779956824,19609.92,,,779956824,9827.22,
PRECISION MACHINE & TOOL,1,,,ORTON CERAMIC FOUNDATION,1697.3,,,733184000,19572,,,779958163,9818.94,
NOTHING INC.,1,,,JIMCO CORPORATION,1682.5,,,718551000,19533,,,779980223,9802.29,
PRESSCUT INDUSTRIES,1,,,PRECISION ART GLASS,1680.64,,,777698063,19502,,,764827500,9788.49,
NOV WILSON,1,,,COMMERCIAL HEATING SUPPLY,1658.16,,,733444100,19427.8,,,770940000,9778.84,
PROCESS RESEARCH PRODUCTS,1,,,J-THERM LLC,1643.52,,,777888893,19423.32,,,740123000,9752.16,
LUCIFER FURNACES INC,1,,,HORIZON METALS,1642.88,,,764561020,19392,,,764561020,9601.6,
KLC INTERNATIONAL LTD.,1,,,SELAS HEAT TECHNOLOGY CO.,1635.5,,,733141300,19360.8,,,733742000,9577.94,
METALSTAMP INC.,1,,,RENAISSANCE ROOFING,1632,,,781500000,19347.93,,,789160000,9571.26,
KNOWLTON TECHNOLOGIES,1,,,JAMES AVERY CRAFTSMAN INC,1615.36,,,792683000,19167.03,,,768041000,9521.17,
NRG/ENERGY,1,,,SNYDER CONTRACTORS,1598.41,,,771400000,18890.7,,,781540000,9512.3,
QUADRA INDUSTRIAL,1,,,SHARP TOOL,1592,,,784140000,18863.02,,,759821000,9504.64,
LECTRAHEAT,1,,,US JOINER LLC,1580,,,738381000,18675.42,,,777921000,9495.4,
R T P  COMPANY,1,,,HALCO,1572,,,780640000,18662.96,,,759671000,9480.59,
METRO CIRCUITS,1,,,SPX FLOW TECHNOLOGY,1569.6,,,761073000,18480,,,734151100,9457.71,
RAINBOW ART GLASS INC.,1,,,ENVIRONEX INC,1563,,,764823500,18474.2,,,782050000,9456.85,
NUCOR STEEL BIRMINGHAM,1,,,F.L. SMIDTH INC.,1554.35,,,734711100,18433.29,,,777980000,9432,
MATRIX INDUSTRIAL,1,,,DARK CORNER GLASS,1551.04,,,768111200,18292,,,767970140,9428.78,
NUCOR-YAMATO STEEL CO.,1,,,"EAGLE ROCK SPECIALTIES,",1546.76,,,742431000,18287.5,,,777142000,9426.9,
"RBC BEARINGS, INC.",1,,,METRO CIRCUITS,1520,,,768250200,18240,,,764765000,9388.38,
NU-SOURCE INC.,1,,,ARCELORMITTAL,1509,,,777998700,18150,,,754065000,9351.5,
MULTI-METALS,1,,,TTM TECHNOLOGIES INC.,1505,,,733202009,18146.25,,,733151520,9344.44,
NUTEC BICKLEY SA DE CV,1,,,APPLIED POWER PRODUCTS,1485.5,,,733543000,18140.2,,,779956844,9327.93,
REFRACTORY ANCHORS INC,1,,,VITRO AUTOMOTRIZ SA DE CV,1470,,,779980291,18101.16,,,726020037,9295.35,
O G SUPPLY,1,,,NIAGARA CERAMICS CORP.,1464,,,764526010,18063.4,,,764222010,9271.17,
MCJUNKIN RED MAN CORP.,1,,,V-J ELECTRONIC ASSEMBLIES,1463.28,,,733384000,18059.36,,,764562000,9226.41,
OE-CAL,1,,,DOMTAR A.W. LLC,1460,,,779988831,18040.5,,,764827505,9193.65,
RENAISSANCE ROOFING,1,,,THE MINE SUPPLY CO,1458,,,779957936,18014.56,,,764521073,9151,
LEE PRECISION MACHINE,1,,,CDI WORLDWIDE,1457,,,779952189,17940,,,793410000,9074.01,
MUSTANG GROUP,1,,,PRIME RESINS,1446,,,740361701,17901,,,779988955,9049.92,
KOSHII MAXELUM AMERICA,1,,,PACIFIC SCIENTIFIC,1438.08,,,770290000,17857.3,,,732675000,8886.43,
PETRO-CHEM DEVELOPMENT,1,,,GB & G DIE GASKET CO.INC.,1438.08,,,764787101,17848.8,,,754924013,8846.97,
OHIO STAT UNIV,1,,,DEKA RESEARCH,1438.08,,,733832000,17820,,,737550200,8837.78,
PHOTONIS USA INC.,1,,,B&R ENGINEERING,1430.4,,,734000008,17739,,,777907221,8750.96,
OHIO STATE UNIVERSITY,1,,,INDUSTRIAL RUBBER & GASKE,1423,,,733870000,17690.65,,,724101200,8737.51,
"PIC GROUP, INC",1,,,STANDARD INDUSTRIAL SUPPL,1409,,,771100000,17650,,,779984659,8659.14,
METSO PAPER USA INC.,1,,,"RBC BEARINGS, INC.",1401.6,,,770720000,17591.9,,,733521350,8639.72,
MILLIKEN AND COMPANY,1,,,AIR PRODUCTS & CHEMICALS,1392,,,737271000,17561.56,,,771404000,8634.63,
OLYMPIC CRANES & FABRICAT,1,,,COLUMBUS RUBBER & GASKET,1391,,,768222200,17496,,,764462210,8540.53,
PK CONTRACTING INC,1,,,MUNACO PACKING & RUBBER,1384,,,768242821,17427.76,,,733566400,8521.9,
LYDALL INC TECH PAPERS DI,1,,,CROWN BATTERY MFG. CO.,1372,,,735657000,17424,,,741101000,8512.12,
MI-T-M CORP,1,,,PARAMOUNT DIE CORPORATION,1362,,,764827505,17374.5,,,779956873,8485.27,
OMNIA SALES,1,,,LUVATA WATERBURY INC.,1362,,,733566100,17359.2,,,779951021,8460.62,
"LIMCO AIREPAIR, INC.",1,,,MULTI-METALS,1342,,,739951051,17157.92,,,766122110,8419.08,
KREEM PRODUCT CO.,1,,,NAVY TECHNOLOGY CCENTER,1339.68,,,733151520,17118,,,793550074,8402.26,
POLYMERIC EXTRUDED PROD.,1,,,SCHWEITZER-MAUDUIT INT'L,1332,,,779956889,17040,,,766005000,8382.55,
ONEX REFRACTORIES,1,,,FERGUSON ENTERPRISES,1332,,,764345053,17016.8,,,779980918,8373.34,
PORTER WALKER INC,1,,,NATIONAL PAPER CONVERTING,1330,,,768217310,17000,,,734950000,8310.93,
ONQUEST INC.,1,,,PLASMA POWER,1326.03,,,768217320,17000,,,779959708,8292.16,
POTTER INDUSTRIES INC.,1,,,"ATLAS HOSE & GASKET CO.,",1320.48,,,726000247,16988.4,,,768222200,8251.52,
ORCON - MEXICO LLC,1,,,REDCO,1314.72,,,791107400,16957.62,,,764824000,8206.89,
MODYNE,1,,,"PIC GROUP, INC",1310.98,,,792734000,16934.4,,,764526513,8196.85,
ORTON CERAMIC FOUNDATION,1,,,METALCRAFT TECHNOLOGIES,1307,,,777907221,16907.9,,,754877000,8183.19,
LIQTECH NA INC.,1,,,TOWANDA METADYNE,1306,,,737651010,16857,,,739564300,8173.93,
OVERHEAD MATERIAL,1,,,IPR/GDF SUEZ N.A.,1301.6,,,764222010,16632,,,779956216,8140.32,
MAGNEQUENCH INTERNATIONAL,1,,,MERAK NORTH AMERICA,1287,,,768041000,16520,,,779952105,8121.21,
MGM INDUSTRIAL SPLY,1,,,CREATIVE ENGINEERS,1275.75,,,733182340,16493.4,,,768121010,8040.1,
PRAXAIR INC.,1,,,MILAMAR COATING,1255.5,,,766231000,16430,,,759661000,7969.28,
MGM INDUSTRIAL SUPPLY CO,1,,,CAROLINA GLASS & MIRROR,1255,,,793540000,16336.5,,,779956843,7965.2,
MORAC MEXICO S.A. de C.V.,1,,,GRESCO PRODUCTS INC,1249.2,,,770710000,16212.8,,,764564000,7932.27,
MHD - ROCKLAND INC.,1,,,EXPRESSIONS ART GLASS,1244.8,,,764462210,16158.24,,,777692562,7915.32,
PRECISION FITTING & GAUGE,1,,,BRUNNER & LAY,1242,,,779951110,16140.6,,,766681100,7897.29,
"OWENS CORNING MEXICO,",1,,,DXP ENTERPRISES,1237.2,,,789160000,16116.48,,,779981056,7885.64,
PRECISION TOOLS SERVICE,1,,,SGL CARBON GROUP,1236,,,739380000,16092.29,,,733221010,7853.16,
MHD ROCKLAND,1,,,"US TOOL GRINDING, INC.",1232.16,,,764524020,16000,,,768241100,7750.32,
MORGAN AM&T,1,,,MATHIAS DIE COMPANY INC.,1222,,,764345061,15912,,,793409000,7727.98,
RESTORATION SUPPLY CO.,1,,,ASSOCIATED SPRING,1201.6,,,764302500,15840,,,733741000,7703.27,
PRIME MACHINE,1,,,GERARD DANIEL WORLDWIDE,1200,,,761051000,15789.6,,,779081000,7614.58,
MEGADIAMOND,1,,,BODY COTE,1200,,,779984659,15675,,,764951700,7592.6,
MORRISON SUPPLY COMPANY,1,,,CERAMATERIALS,1199,,,785800000,15626.16,,,768242011,7483.95,
RHI AG,1,,,SOUTH JERSEY BOILER,1196.92,,,764761010,15552,,,784180000,7468.32,
PROCOR LTD,1,,,MERIDEN MANUFACTURING INC,1196,,,779958167,15480,,,764524020,7452.57,
M CUBED TECHNOLOGIES INC,1,,,LOCKHEED MARTIN,1179.97,,,742471100,15470.56,,,739951050,7434.68,
PROPULSION TECHNOLOGY,1,,,B F GOODRICH CO,1174.8,,,733444220,15393.6,,,777905410,7426.61,
PACIFIC NORTHWEST NATL,1,,,DUNCAN BOLT,1163.15,,,764951700,15321.6,,,754864010,7287.62,
MARK STEEL,1,,,MILWAUKEE INSULATION,1160.16,,,764602512,15300,,,771170000,7261.77,
PACIFIC SCIENTIFIC,1,,,BALTIMORE RUBBER & GASKET,1160.16,,,770340000,15267.75,,,779956889,7248.98,
MARLIN ENGINEERING INC.,1,,,HENKEL CHEMICAL MGMT.,1156.5,,,777903800,15261.58,,,775171000,7245.9,
MERCER GASKET & SHIM,1,,,WAHOO,1150.5,,,739564300,15226.82,,,739661100,7231.68,
LABARGE ELECTRONICS,1,,,"HERAEUS NOBELIGHT, LLC",1149.12,,,781540000,15192,,,766231000,7190.36,
PACOR INC.,1,,,SAES SMART MATERIALS,1147,,,742461000,15168,,,764602512,7182.69,
MOTION INDUSTRIES CANADA,1,,,REINHOLD INDUSTRIES INC.,1133,,,740402301,15097.5,,,739821010,7182.08,
M DAVIS & SONS,1,,,BRAYTON ENERGY,1130.4,,,768242011,15053.66,,,764348000,7162.4,
QUICK CUT GASKET & RUBBER,1,,,RESCO PRODUCTS INC,1130,,,768241030,15030,,,779959551,7153.08,
KREISLER INDUSTRIAL CORP,1,,,GRAFTECH,1125.12,,,768241500,14960,,,766001200,7105.32,
R K METALS LLC,1,,,SPECIALTY GASKETS INC,1120,,,792730000,14947.7,,,777902610,7025.3,
PALL TRINITY MICRO CORP,1,,,"ATSCOTT MFG COMPANY, INC.",1119.68,,,779956840,14936.16,,,727063018,7013.35,
MATHIAS DIE COMPANY INC.,1,,,GOVERNMENT SCIENTIFIC,1118.35,,,733423800,14910.72,,,768241102,6930.06,
PANDO LLC,1,,,DIELECTRIC SOLUTIONS LLC,1107.25,,,764564000,14881,,,742641500,6912.98,
LONE STAR GASKET,1,,,APPLIED PRODUCTS INC.,1107.25,,,777692762,14812.56,,,768250200,6884.02,
PANELCRAFT INC.,1,,,DALE STOVER,1105.36,,,782050000,14774.4,,,777710073,6881.15,
RALEIGH-DURHAM RUBBER,1,,,MAGELLAN AEROSPACE,1099.86,,,779956888,14752.8,,,764345061,6864.83,
MERIDEN MANUFACTURING INC,1,,,SULLIVAN SUPPLY CO,1096.25,,,764827500,14595,,,724121400,6863.89,
RASGAS COMPANY LIMITED,1,,,CARLISLE BRAKE & FRICTION,1089.9,,,739290000,14477.46,,,764706200,6807.06,
LAWRENCE ELECTRONICS CO.,1,,,SEMCOR,1086,,,759671000,14469,,,777904400,6801.57,
RAYTEQ LLC,1,,,RELIACHECK MANUFACTURING,1080,,,779980918,14460,,,732670000,6782.44,
LAYNE HEAVY CIVIL,1,,,ACME SPECIALTIES INC,1079,,,727031300,14397,,,733542005,6737.05,
MATTHEWS INTERNATIONAL,1,,,CAMERON MANUFACTURING,1078,,,767970140,14381,,,779952106,6731.98,
PARKER AEROSPACE,1,,,CERAMTEC NORTH AMERICA,1075.5,,,764266501,14254.4,,,764827000,6724.61,
RBC INDUSTRIES,1,,,BAE SYSTEMS,1070.48,,,738441000,14241.11,,,791106668,6685.66,
PARSONS,1,,,"SDI LAFARGA, LLC",1061,,,788260020,14187.12,,,764484000,6651.31,
"LONE STAR INDUCTION, INC",1,,,SCREW CONVEYOR CORP,1061,,,733867100,14175,,,764822020,6638.72,
PASQUALE DINUZZO LLC,1,,,EUROFINS SCIENTIFIC,1041.6,,,768111000,14115.9,,,764526600,6630.35,
MUNACO PACKING & RUBBER,1,,,"D-J ENGINEERING, INC.",1037,,,733423710,13990.4,,,753945000,6581.02,
PATS AIRCRAFT LLC,1,,,MITSUBISHI POWER SYSTEMS,1035.4,,,764827000,13925.9,,,754285000,6550.84,
MAYNARD INC.,1,,,MCCONNELL AFB,1022.5,,,770300000,13920.52,,,740382150,6535.01,
"PATS AIRCRAFT, LLC",1,,,MOTION INDUSTRIES CANADA,1022,,,779981057,13920,,,740361701,6531.84,
LARRY COOPER,1,,,FIBER GLASS INDUSTRIES,1016,,,779956599,13881.4,,,734351204,6531.29,
PAWLING CORP.,1,,,MYLAN TECHNOLOGIES INC.,1010,,,732675000,13868.61,,,768540000,6489.57,
MCCONNELL AFB,1,,,MODYNE,1010,,,792622000,13860,,,764821073,6460.7,
MIDWEST FABRICATION,1,,,APPROVED AERONAUTICS,974,,,733572900,13847.04,,,770870000,6413.94,
REFTECH INTERNATIONAL INC,1,,,PROLIFT INDUS EQUIP,973,,,733423600,13801.92,,,792780000,6409.76,
MESTEK INC.,1,,,ANTHONY INTERNATIONAL,973,,,735602010,13779.5,,,754127000,6408.36,
RELIACHECK MANUFACTURING,1,,,FLEXLINE LLC,964.56,,,775171000,13710.12,,,768222112,6405.93,
MIDWEST SERVICE CENTER,1,,,FOURNIER RUBBER & SUPPLY,964,,,777888891,13680,,,768530000,6399.88,
RENO CONSTRUCTION CO LLC,1,,,S.P.KINNEY ENGINEERING,958.5,,,759821000,13578.84,,,733182400,6394.77,
MIKRO SYSTEMS INC.,1,,,J & M AIRCRAFT,958.5,,,738071000,13502.64,,,764862600,6385.01,
RESCO PRODUCTS INC,1,,,ALLIANCE AIRCRAFT GROUP,958.5,,,734810000,13462.62,,,768511000,6376.95,
PERFORMANCE CONTRACTNG-KY,1,,,TORTOLITA CREATIONS,958,,,768121010,13370,,,754906000,6374.88,
PERFORMANCE FRICTION,1,,,PORTER WALKER INC,958,,,766122006,13365,,,793250074,6307.42,
REVERE COPPER PRODUCTS IN,1,,,ACCELLENT ENDOSCOPY,958,,,777902610,13350.84,,,733182390,6245.75,
P.R. INTERNATIONAL INC.,1,,,CUBE TECHNOLOGY,955.8,,,740123000,13316.52,,,764266501,6231.53,
RG SMITH CO. INC,1,,,GENERAL JACKSON SHOWBOAT,947.5,,,779952106,13305.6,,,771132000,6177.12,
PAC,1,,,CONDO ELECTRIC INDUSTRIAL,946,,,779980287,13225,,,785800000,6161.53,
MECHANICAL EQUIPMENT INC,1,,,BOLTS METALLIZING WEST,942,,,764526600,13170.4,,,779985554,6153.51,
PACIFIC INDUSTRIAL,1,,,MICROCHIP TECHNOLOGY INC.,935,,,754164005,13158.12,,,788200010,6130.78,
RIVE TECHNOLOGY,1,,,ERIKS MIDWEST INC.,935,,,770550000,13153.26,,,779440100,6129.34,
NORTH SHORE INTERNATIONAL,1,,,GREEN BOILER TECH.,931.5,,,764562000,13079.4,,,764820500,6117.38,
NORTHERN INDIANA PUBLIC S,1,,,MORGAN AM&T,926.4,,,764601020,13048,,,735657000,6089.68,
INTERNATIONAL CRYSTAL LAB,1,,,SWANSON DISTRIBUTING,924,,,793280074,13026,,,733182010,6063.33,
ICC INDUSTRIAL CHIMNEY CO,1,,,RESTORATION SUPPLY CO.,922,,,764762200,12963.6,,,764601020,6050.45,
